id,code,name,description,media_url,thumbnail_url,difficulty,met_value,equipment,category_id,target_muscle_id,body_part_id,default_duration,duration_unit
06506c8e-30d0-537f-bba7-acbbe4d5788a,3_4_SIT_UP,3/4 Sit-Up,"Lie down on the floor and secure your feet. Your legs should be bent at the knees. Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position. Flex your hips and spine to raise your torso toward your knees. At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only ¾ of the way down. Repeat for the recommended amount of repetitions.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/3_4_Sit-Up/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/3_4_Sit-Up/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/3_4_Sit-Up/images/0.jpg,BEGINNER,5.0,"[""BODY_ONLY""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589,95a0314a-972a-44d4-9dd3-32ad349333fa,12.0,REPS
54c6802b-4e06-5294-af30-87c4df06eaa8,90_90_HAMSTRING,90/90 Hamstring,"Lie on your back, with one leg extended straight out. With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position. Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position. Repeat for 10-20 repetitions, and then switch to the other leg.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/90_90_Hamstring/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/90_90_Hamstring/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/90_90_Hamstring/images/0.jpg,BEGINNER,3.5,"[""BODY_ONLY""]",8d907765-5dab-4a27-a71c-71003394ee1a,eae93354-9f12-4402-a7b9-d374fac3daec,5ee309ea-e8ea-45ea-a468-752ec192e01f,30.0,SECONDS
5a6194af-b522-524b-aaa1-6756d404084f,AB_CRUNCH_MACHINE,Ab Crunch Machine,"Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position. At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet. After a second pause, slowly return to the starting position as you breathe in. Repeat the movement for the prescribed amount of repetitions.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Crunch_Machine/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Crunch_Machine/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Crunch_Machine/images/0.jpg,INTERMEDIATE,5.0,"[""MACHINE""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589,95a0314a-972a-44d4-9dd3-32ad349333fa,12.0,REPS
f8e66212-b4fe-5749-be92-ab7fd1bb9ce1,AB_ROLLER,Ab Roller,"Hold the Ab Roller with both hands and kneel on the floor. Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position. Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement. After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Roller/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Roller/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Ab_Roller/images/0.jpg,INTERMEDIATE,5.0,"[""OTHER""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589,95a0314a-972a-44d4-9dd3-32ad349333fa,12.0,REPS
09879a17-7dee-5b5d-81e2-5cb8aa50f48f,ADDUCTOR,Adductor,"Lie face down with one leg on a foam roll. Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated. While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor/images/0.jpg,INTERMEDIATE,3.5,"[""FOAM_ROLL""]",8d907765-5dab-4a27-a71c-71003394ee1a,5616ed6b-b823-44d9-b66d-aec168301b7e,e0ae2823-3a84-483d-9059-af0edb3046be,30.0,SECONDS
5e1d2307-ac62-544b-b9aa-d913603f76db,ADDUCTOR_GROIN,Adductor/Groin,"Lie on your back with your feet raised towards the ceiling. Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position. Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so. Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor_Groin/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor_Groin/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Adductor_Groin/images/0.jpg,INTERMEDIATE,3.5,[],8d907765-5dab-4a27-a71c-71003394ee1a,5616ed6b-b823-44d9-b66d-aec168301b7e,e0ae2823-3a84-483d-9059-af0edb3046be,30.0,SECONDS
2e1f3fd7-88fb-5a6f-bdce-990b567b4bce,ADVANCED_KETTLEBELL_WINDMILL,Advanced Kettlebell Windmill,"Clean and press a kettlebell overhead with one arm. Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell. Lower yourself as far as possible. Pause for a second and reverse the motion back to the starting position.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Advanced_Kettlebell_Windmill/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Advanced_Kettlebell_Windmill/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Advanced_Kettlebell_Windmill/images/0.jpg,INTERMEDIATE,5.0,"[""KETTLEBELLS""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589,95a0314a-972a-44d4-9dd3-32ad349333fa,12.0,REPS
96c90b51-51a7-5811-954a-0d0f29aaa5ec,AIR_BIKE,Air Bike,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position. Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position. Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out. Go back to the initial position as you breathe in. Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale. Continue alternating in this manner until all of the recommended repetitions for each side have been completed.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Air_Bike/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Air_Bike/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Air_Bike/images/0.jpg,BEGINNER,5.0,"[""BODY_ONLY""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,d57cb37b-2f4c-4ea6-bd36-d7cd4a1bd589,95a0314a-972a-44d4-9dd3-32ad349333fa,12.0,REPS
fa488c76-c35a-5430-beb0-a63501ed7b4f,ALL_FOURS_QUAD_STRETCH,All Fours Quad Stretch,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand. Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors. Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/All_Fours_Quad_Stretch/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/All_Fours_Quad_Stretch/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/All_Fours_Quad_Stretch/images/0.jpg,INTERMEDIATE,3.5,"[""BODY_ONLY""]",8d907765-5dab-4a27-a71c-71003394ee1a,3b8df81a-ab7b-437a-812d-a692835ff9a9,e896212f-6efb-4021-b3d8-8a4a8a27c762,30.0,SECONDS
37252414-400e-52a0-899a-cfc93235c78c,ALTERNATE_HAMMER_CURL,Alternate Hammer Curl,"Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. Slowly begin to bring the dumbbells back to starting position as your breathe in. Repeat the movement with the left hand. This equals one repetition. Continue alternating in this manner for the recommended amount of repetitions.",https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Alternate_Hammer_Curl/images/0.jpg; https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Alternate_Hammer_Curl/images/1.jpg,https://raw.githubusercontent.com/wrkout/exercises.json/refs/heads/master/exercises/Alternate_Hammer_Curl/images/0.jpg,BEGINNER,5.0,"[""DUMBBELL""]",2ff2af9f-60fc-4c11-870c-c0bc900b407c,20f9edbe-a4ae-4fea-a0f8-c04423ffd6de,671b193f-f91d-4366-9ab3-cc460062efc5,12.0,REPS
